iter	Passed	Remaining
408	5188	2423
409	5202	2410
410	5214	2397
411	5227	2385
412	5240	2372
413	5253	2360
414	5266	2347
415	5278	2334
416	5290	2321
417	5304	2309
418	5316	2296
419	5328	2283
420	5342	2271
421	5356	2259
422	5368	2246
423	5380	2233
424	5393	2220
425	5406	2208
426	5419	2195
427	5422	2179
428	5434	2166
429	5447	2153
430	5463	2142
431	5475	2129
432	5487	2116
433	5498	2103
434	5511	2090
435	5523	2077
436	5534	2064
437	5546	2051
438	5558	2038
439	5561	2022
440	5572	2009
441	5587	1997
442	5602	1985
443	5618	1973
444	5632	1961
445	5646	1949
446	5660	1937
447	5675	1925
448	5691	1913
449	5708	1902
450	5721	1890
451	5735	1877
452	5747	1865
453	5759	1852
454	5771	1839
455	5783	1826
456	5794	1813
457	5805	1800
458	5816	1786
459	5828	1773
460	5839	1760
461	5850	1747
462	5860	1734
463	5872	1721
464	5883	1708
465	5895	1695
466	5906	1682
467	5917	1669
468	5929	1656
469	5940	1643
470	5952	1630
471	5963	1617
472	5975	1604
473	5987	1591
474	5998	1578
475	6010	1565
476	6022	1552
477	6033	1540
478	6047	1527
479	6059	1514
480	6070	1501
481	6082	1489
482	6094	1476
483	6106	1463
484	6117	1450
485	6130	1438
486	6144	1425
487	6155	1412
488	6166	1399
489	6178	1386
490	6190	1374
491	6202	1361
492	6212	1348
493	6223	1335
494	6236	1322
495	6247	1309
496	6259	1297
497	6270	1284
498	6282	1271
499	6294	1258
500	6306	1246
501	6318	1233
502	6330	1220
503	6342	1208
504	6354	1195
505	6365	1182
506	6377	1169
507	6391	1157
508	6404	1144
509	6419	1132
510	6433	1120
511	6446	1107
512	6458	1095
513	6471	1082
514	6484	1070
515	6496	1057
516	6508	1044
517	6521	1032
518	6534	1019
519	6545	1007
520	6557	994
521	6568	981
522	6581	969
523	6592	956
524	6605	943
525	6616	930
526	6628	918
527	6639	905
528	6650	892
529	6663	880
530	6675	867
531	6687	854
532	6698	842
533	6710	829
534	6721	816
535	6738	804
536	6751	792
537	6762	779
538	6773	766
539	6785	753
540	6795	741
541	6806	728
542	6818	715
