iter	Passed	Remaining
412	5154	2333
413	5163	2319
414	5172	2305
415	5181	2291
416	5191	2278
417	5200	2264
418	5210	2250
419	5219	2236
420	5229	2223
421	5238	2209
422	5247	2195
423	5256	2182
424	5266	2168
425	5275	2154
426	5285	2141
427	5294	2127
428	5303	2114
429	5313	2100
430	5323	2087
431	5332	2073
432	5341	2059
433	5350	2046
434	5359	2033
435	5369	2019
436	5378	2006
437	5387	1992
438	5396	1979
439	5405	1965
440	5414	1952
441	5424	1939
442	5433	1925
443	5443	1912
444	5452	1899
445	5461	1885
446	5471	1872
447	5480	1859
448	5489	1846
449	5498	1832
450	5507	1819
451	5516	1806
452	5525	1793
453	5535	1780
454	5544	1766
455	5553	1753
456	5562	1740
457	5572	1727
458	5581	1714
459	5590	1701
460	5600	1688
461	5609	1675
462	5618	1662
463	5628	1649
464	5637	1636
465	5646	1623
466	5657	1611
467	5666	1598
468	5675	1585
469	5685	1572
470	5694	1559
471	5703	1546
472	5712	1533
473	5721	1520
474	5731	1508
475	5740	1495
476	5749	1482
477	5759	1469
478	5768	1457
479	5777	1444
480	5787	1431
481	5796	1419
482	5807	1406
483	5816	1393
484	5825	1381
485	5834	1368
486	5844	1356
487	5857	1344
488	5867	1331
489	5876	1319
490	5885	1306
491	5894	1293
492	5904	1281
493	5913	1268
494	5922	1256
495	5931	1243
496	5940	1231
497	5949	1218
498	5959	1206
499	5968	1193
500	5977	1181
501	5987	1168
502	5996	1156
503	6005	1143
504	6015	1131
505	6024	1119
506	6033	1106
507	6042	1094
508	6051	1081
509	6060	1069
510	6070	1057
511	6079	1044
512	6089	1032
513	6098	1020
514	6108	1008
515	6117	995
516	6126	983
517	6135	971
518	6144	959
519	6154	946
520	6163	934
521	6172	922
522	6181	910
523	6190	897
524	6199	885
525	6209	873
526	6220	861
527	6230	849
528	6239	837
529	6250	825
530	6260	813
531	6271	801
532	6281	789
533	6290	777
534	6300	765
535	6309	753
536	6319	741
537	6328	729
538	6337	717
539	6346	705
540	6355	693
541	6364	681
542	6374	669
543	6383	657
544	6392	645
545	6403	633
546	6412	621
547	6421	609
548	6431	597
549	6441	585
550	6450	573
551	6460	561
552	6471	549
553	6480	538
554	6489	526
555	6498	514
556	6508	502
557	6517	490
558	6526	478
559	6535	466
560	6545	455
561	6554	443
562	6563	431
563	6572	419
564	6581	407
565	6590	395
566	6599	384
567	6609	372
568	6619	360
569	6628	348
570	6637	337
571	6648	325
572	6657	313
573	6666	301
574	6676	290
575	6685	278
576	6696	266
577	6711	255
578	6727	244
579	6739	232
580	6757	220
581	6775	209
582	6793	198
583	6802	186
584	6817	174
585	6828	163
586	6838	151
587	6848	139
588	6858	128
589	6868	116
590	6877	104
591	6886	93
592	6896	81
593	6905	69
594	6916	58
595	6925	46
596	6935	34
597	6944	23
598	6953	11
599	6963	0
